dBZ / RGBA,Black and White,Original,Universal Blue,Titan,The Weather Channel (TWC),Meteored,NEXRAD Level III,Rainbow @ Selex SI,Dark Sky,Datameteo Valerio,Viper HD,MRMS CREF,33/40 Max Storm,MetService NZ (Dark),Windy
-28,#848484ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-27,#858585ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-26,#868686ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-25,#878787ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-24,#888888ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-23,#898989ff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-22,#8a8a8aff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-21,#8b8b8bff,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000,#00000000
-20,#8c8c8cff,#efffffff,#efffffff,#efffffff,#efffffff,#00000000,#00000000,#efffffff,#efffffff,#efffffff,#efffffff,#efffffff,#efffffff,#00000000,#efffffff
-19,#8d8d8dff,#efffffff,#efffffff,#efffffff,#eeffffff,#00000000,#00000000,#eeffffff,#ebffffff,#efffffff,#eeffffff,#eeffffff,#efffffff,#00000000,#efffffff
-18,#8e8e8eff,#efffffff,#efffffff,#efffffff,#edffffff,#00000000,#00000000,#edffffff,#e8ffffff,#efffffff,#edffffff,#edffffff,#efffffff,#00000000,#efffffff
-17,#8f8f8fff,#efffffff,#efffffff,#efffffff,#ebffffff,#00000000,#00000000,#ebffffff,#e5ffffff,#efffffff,#ebffffff,#ebffffff,#efffffff,#00000000,#efffffff
-16,#909090ff,#efffffff,#efffffff,#efffffff,#e6ffffff,#00000000,#00000000,#e6ffffff,#e2ffffff,#efffffff,#e6ffffff,#e6ffffff,#efffffff,#00000000,#efffffff
-15,#919191ff,#dfffffff,#dfffffff,#dfffffff,#dfffffff,#00000000,#00000000,#dfffffff,#dfffffff,#dfffffff,#dfffffff,#dfffffff,#dfffffff,#00000000,#dfffffff
-14,#929292ff,#dfffffff,#dfffffff,#dfffffff,#deffffff,#00000000,#00000000,#deffffff,#dbffffff,#dfffffff,#deffffff,#deffffff,#dfffffff,#00000000,#dfffffff
-13,#939393ff,#dfffffff,#dfffffff,#dfffffff,#ddffffff,#00000000,#00000000,#ddffffff,#d8ffffff,#dfffffff,#ddffffff,#ddffffff,#dfffffff,#00000000,#dfffffff
-12,#949494ff,#dfffffff,#dfffffff,#dfffffff,#dbffffff,#00000000,#00000000,#dbffffff,#d5ffffff,#dfffffff,#dbffffff,#dbffffff,#dfffffff,#00000000,#dfffffff
-11,#959595ff,#dfffffff,#dfffffff,#dfffffff,#d6ffffff,#00000000,#00000000,#d6ffffff,#d2ffffff,#dfffffff,#d6ffffff,#d6ffffff,#dfffffff,#00000000,#dfffffff
-10,#969696ff,#cfffffff,#cfffffff,#cfffffff,#cfffffff,#00000000,#00000000,#cfffffff,#cfffffff,#cfffffff,#cfffffff,#cfffffff,#cfffffff,#00000000,#cfffffff
-9,#979797ff,#cfffffff,#cfffffff,#cfffffff,#ceffffff,#00000000,#00000000,#ceffffff,#cbffffff,#cfffffff,#ceffffff,#ceffffff,#cfffffff,#00000000,#cfffffff
-8,#989898ff,#cfffffff,#cfffffff,#cfffffff,#cdffffff,#00000000,#00000000,#cdffffff,#c8ffffff,#cfffffff,#cdffffff,#cdffffff,#cfffffff,#00000000,#cfffffff
-7,#999999ff,#cfffffff,#cfffffff,#cfffffff,#cbffffff,#00000000,#00000000,#cbffffff,#c5ffffff,#cfffffff,#cbffffff,#cbffffff,#cfffffff,#00000000,#cfffffff
-6,#9a9a9aff,#cfffffff,#cfffffff,#cfffffff,#c6ffffff,#00000000,#00000000,#c6ffffff,#c2ffffff,#cfffffff,#c6ffffff,#c6ffffff,#cfffffff,#00000000,#cfffffff
-5,#9b9b9bff,#bfffffff,#bfffffff,#bfffffff,#bfffffff,#00000000,#00000000,#bfffffff,#bfffffff,#bfffffff,#bfffffff,#bfffffff,#bfffffff,#00000000,#bfffffff
-4,#9c9c9cff,#bfffffff,#bfffffff,#bfffffff,#beffffff,#00000000,#00000000,#beffffff,#bbffffff,#bfffffff,#beffffff,#beffffff,#bfffffff,#00000000,#bfffffff
-3,#9d9d9dff,#bfffffff,#bfffffff,#bfffffff,#bdffffff,#00000000,#00000000,#bdffffff,#b8ffffff,#bfffffff,#bdffffff,#bdffffff,#bfffffff,#00000000,#bfffffff
-2,#9e9e9eff,#bfffffff,#bfffffff,#bfffffff,#bbffffff,#00000000,#00000000,#bbffffff,#b5ffffff,#bfffffff,#bbffffff,#bbffffff,#bfffffff,#00000000,#bfffffff
-1,#9f9f9fff,#bfffffff,#bfffffff,#bfffffff,#b6ffffff,#00000000,#00000000,#b6ffffff,#b2ffffff,#bfffffff,#b6ffffff,#b6ffffff,#bfffffff,#00000000,#bfffffff
0,#a0a0a0ff,#afffffff,#afffffff,#afffffff,#afffffff,#00000000,#00000000,#afffffff,#afffffff,#afffffff,#afffffff,#afffffff,#afffffff,#00000000,#afffffff
1,#a1a1a1ff,#afffffff,#afffffff,#afffffff,#aeffffff,#00000000,#00000000,#aeffffff,#abffffff,#afffffff,#aeffffff,#aeffffff,#afffffff,#00000000,#afffffff
2,#a2a2a2ff,#afffffff,#afffffff,#afffffff,#adffffff,#00000000,#00000000,#adffffff,#a8ffffff,#afffffff,#adffffff,#adffffff,#afffffff,#00000000,#afffffff
3,#a3a3a3ff,#afffffff,#afffffff,#afffffff,#abffffff,#00000000,#00000000,#abffffff,#a5ffffff,#afffffff,#abffffff,#abffffff,#afffffff,#00000000,#afffffff
4,#a4a4a4ff,#afffffff,#afffffff,#afffffff,#a6ffffff,#00000000,#00000000,#a6ffffff,#a2ffffff,#afffffff,#a6ffffff,#a6ffffff,#afffffff,#00000000,#afffffff
5,#a5a5a5ff,#9fffffff,#9fffffff,#9fffffff,#9fffffff,#00000000,#e5fefeff,#9fffffff,#9fffffff,#9fffffff,#9fffffff,#9fffffff,#9fffffff,#00000000,#9fffffff
6,#a6a6a6ff,#9fffffff,#9fffffff,#9fffffff,#9effffff,#00000000,#e5fefeff,#9effffff,#9bffffff,#9fffffff,#9effffff,#9effffff,#9fffffff,#00000000,#9fffffff
7,#a7a7a7ff,#9fffffff,#9fffffff,#9fffffff,#9dffffff,#00000000,#e5fefeff,#9dffffff,#98ffffff,#9fffffff,#9dffffff,#9dffffff,#9fffffff,#00000000,#9fffffff
8,#a8a8a8ff,#9fffffff,#9fffffff,#9fffffff,#9bffffff,#00000000,#e5fefeff,#9bffffff,#95ffffff,#9fffffff,#9bffffff,#9bffffff,#9fffffff,#00000000,#9fffffff
9,#a9a9a9ff,#9fffffff,#9fffffff,#9fffffff,#96ffffff,#00000000,#e5fefeff,#96ffffff,#92ffffff,#9fffffff,#96ffffff,#96ffffff,#9fffffff,#00000000,#9fffffff
10,#aaaaaaff,#8fffffff,#bfffffff,#8fffffff,#8fffffff,#3ffefcff,#a3f3ffff,#8fffffff,#8fffffff,#bfffffff,#8fffffff,#8fffffff,#bfffffff,#96bedc3f,#bfffffff
11,#abababff,#8fffffff,#bfffffff,#8fffffff,#8efeffff,#3ffefcff,#a3f3ffff,#8efeffff,#8bfbffff,#bfffffff,#8efeffff,#8efeffff,#bfffffff,#96bedc49,#bfffffff
12,#acacacff,#8fffffff,#bfffffff,#8fffffff,#8dfdffff,#3ffefcff,#a3f3ffff,#8dfdffff,#88f8ffff,#bfffffff,#8dfdffff,#8dfdffff,#bfffffff,#96bedc52,#bfffffff
13,#adadadff,#8fffffff,#bfffffff,#8fffffff,#8bfbffff,#3ffefcff,#a3f3ffff,#8bfbffff,#85f5ffff,#bfffffff,#8bfbffff,#8bfbffff,#bfffffff,#96bedc5c,#bfffffff
14,#aeaeaeff,#8fffffff,#bfffffff,#8fffffff,#86f6ffff,#3ffefcff,#a3f3ffff,#86f6ffff,#82f2ffff,#bfffffff,#86f6ffff,#86f6ffff,#bfffffff,#96bedc66,#bfffffff
15,#afafafff,#7fefffff,#9fdfffff,#7fefffff,#7fefffff,#1790f9ff,#51cffdff,#7fefffff,#7fefffff,#9fdfffff,#7fefffff,#7fefffff,#9fdfffff,#96bedc6f,#9fdfffff
16,#b0b0b0ff,#7fefffff,#9fdfffff,#7fefffff,#7eeeffff,#1790f9ff,#51cffdff,#7eeeffff,#7bebffff,#9fdfffff,#7eeeffff,#7eeeffff,#9fdfffff,#96bedc79,#9fdfffff
17,#b1b1b1ff,#7fefffff,#9fdfffff,#7fefffff,#7dedffff,#1790f9ff,#51cffdff,#7dedffff,#78e8ffff,#9fdfffff,#7dedffff,#7dedffff,#9fdfffff,#96bedc82,#9fdfffff
18,#b2b2b2ff,#7fefffff,#9fdfffff,#7fefffff,#7bebffff,#1790f9ff,#51cffdff,#7bebffff,#75e5ffff,#9fdfffff,#7bebffff,#7bebffff,#9fdfffff,#96bedc8c,#9fdfffff
19,#b3b3b3ff,#7fefffff,#9fdfffff,#7fefffff,#76e6ffff,#1790f9ff,#51cffdff,#76e6ffff,#72e2ffff,#9fdfffff,#76e6ffff,#76e6ffff,#9fdfffff,#c8e1f595,#9fdfffff
20,#b4b4b4ff,#6fdfffff,#7fbfffff,#6fdfffff,#6fdfffff,#0000f3ff,#0d99fcff,#6fdfffff,#6fdfffff,#7fbfffff,#6fdfffff,#6fdfffff,#7fbfffff,#c8e1f59f,#7fbfffff
21,#b5b5b5ff,#6fdfffff,#7fbfffff,#6fdfffff,#6edeffff,#0000f3ff,#0d99fcff,#6edeffff,#6bdbffff,#7fbfffff,#6edeffff,#6edeffff,#7fbfffff,#c8e1f5a8,#7fbfffff
22,#b6b6b6ff,#6fdfffff,#7fbfffff,#6fdfffff,#6dddffff,#0000f3ff,#0d99fcff,#6dddffff,#68d8ffff,#7fbfffff,#6dddffff,#6dddffff,#7fbfffff,#c8e1f5b2,#7fbfffff
23,#b7b7b7ff,#6fdfffff,#7fbfffff,#6fdfffff,#6bdbffff,#0000f3ff,#0d99fcff,#6bdbffff,#65d5ffff,#7fbfffff,#6bdbffff,#6bdbffff,#7fbfffff,#c8e1f5bc,#7fbfffff
24,#b8b8b8ff,#6fdfffff,#7fbfffff,#6fdfffff,#66d6ffff,#0000f3ff,#0d99fcff,#66d6ffff,#62d2ffff,#7fbfffff,#66d6ffff,#66d6ffff,#7fbfffff,#c8e1f5c5,#7fbfffff
25,#b9b9b9ff,#5fcfffff,#5f9fffff,#5fcfffff,#5fcfffff,#41ff50ff,#0f75fbff,#5fcfffff,#5fcfffff,#5f9fffff,#5fcfffff,#5fcfffff,#5f9fffff,#c8e1f5cf,#5f9fffff
26,#bababaff,#5fcfffff,#5f9fffff,#5fcfffff,#5eceffff,#41ff50ff,#0f75fbff,#5eceffff,#5bc8ffff,#5f9fffff,#5eceffff,#5eceffff,#5f9fffff,#c8e1f5d8,#5f9fffff
27,#bbbbbbff,#5fcfffff,#5f9fffff,#5fcfffff,#5dccffff,#41ff50ff,#0f75fbff,#5dccffff,#58c2ffff,#5f9fffff,#5dccffff,#5dccffff,#5f9fffff,#c8e1f5e2,#5f9fffff
28,#bcbcbcff,#5fcfffff,#5f9fffff,#5fcfffff,#5bc8ffff,#41ff50ff,#0f75fbff,#5bc8ffff,#55bbffff,#5f9fffff,#5bc8ffff,#5bc8ffff,#5f9fffff,#c8e1f5eb,#5f9fffff
29,#bdbdbdff,#5fcfffff,#5f9fffff,#5fcfffff,#56beffff,#41ff50ff,#0f75fbff,#56beffff,#52b5ffff,#5f9fffff,#56beffff,#56beffff,#5f9fffff,#c8e1f5f5,#5f9fffff
30,#bebebeff,#4fafffff,#4f8fffff,#4fafffff,#4fafffff,#32c23dff,#1053fbff,#4fafffff,#4fafffff,#4f8fffff,#4fafffff,#4fafffff,#4f8fffff,#c8e1f5ff,#4f8fffff
31,#bfbfbfff,#4fafffff,#4f8fffff,#4fafffff,#4eaeffff,#32c23dff,#1053fbff,#4eaeffff,#4babffff,#4f8fffff,#4eaeffff,#4eaeffff,#4f8fffff,#c8e1f5ff,#4f8fffff
32,#c0c0c0ff,#4fafffff,#4f8fffff,#4fafffff,#4dadffff,#32c23dff,#1053fbff,#4dadffff,#48a8ffff,#4f8fffff,#4dadffff,#4dadffff,#4f8fffff,#c8e1f5ff,#4f8fffff
33,#c1c1c1ff,#4fafffff,#4f8fffff,#4fafffff,#4babffff,#32c23dff,#1053fbff,#4babffff,#45a5ffff,#4f8fffff,#4babffff,#4babffff,#4f8fffff,#c8e1f5ff,#4f8fffff
34,#c2c2c2ff,#4fafffff,#4f8fffff,#4fafffff,#46a6ffff,#32c23dff,#1053fbff,#46a6ffff,#42a2ffff,#4f8fffff,#46a6ffff,#46a6ffff,#4f8fffff,#c8e1f5ff,#4f8fffff
35,#c3c3c3ff,#3f9fffff,#3f7fffff,#3f9fffff,#3f9fffff,#4b8339ff,#103ffbff,#3f9fffff,#3f9fffff,#3f7fffff,#3f9fffff,#3f9fffff,#3f7fffff,#ebf5ffff,#3f7fffff
36,#c4c4c4ff,#3f9fffff,#3f7fffff,#3f9fffff,#3e9effff,#4b8339ff,#103ffbff,#3e9effff,#3b9bffff,#3f7fffff,#3e9effff,#3e9effff,#3f7fffff,#ebf5ffff,#3f7fffff
37,#c5c5c5ff,#3f9fffff,#3f7fffff,#3f9fffff,#3d9dffff,#4b8339ff,#103ffbff,#3d9dffff,#3898ffff,#3f7fffff,#3d9dffff,#3d9dffff,#3f7fffff,#ebf5ffff,#3f7fffff
38,#c6c6c6ff,#3f9fffff,#3f7fffff,#3f9fffff,#3b9bffff,#4b8339ff,#103ffbff,#3b9bffff,#3595ffff,#3f7fffff,#3b9bffff,#3b9bffff,#3f7fffff,#ebf5ffff,#3f7fffff
39,#c7c7c7ff,#3f9fffff,#3f7fffff,#3f9fffff,#3696ffff,#4b8339ff,#103ffbff,#3696ffff,#3292ffff,#3f7fffff,#3696ffff,#3696ffff,#3f7fffff,#ebf5ffff,#3f7fffff
40,#c8c8c8ff,#2f8fffff,#2f6fffff,#2f8fffff,#2f8fffff,#ffff50ff,#0b32cfff,#2f8fffff,#2f8fffff,#2f6fffff,#2f8fffff,#2f8fffff,#2f6fffff,#ebf5ffff,#2f6fffff
41,#c9c9c9ff,#2f8fffff,#2f6fffff,#2f8fffff,#2e8effff,#ffff50ff,#0b32cfff,#2e8effff,#2b8bffff,#2f6fffff,#2e8effff,#2e8effff,#2f6fffff,#ebf5ffff,#2f6fffff
42,#cacacaff,#2f8fffff,#2f6fffff,#2f8fffff,#2d8dffff,#ffff50ff,#0b32cfff,#2d8dffff,#2888ffff,#2f6fffff,#2d8dffff,#2d8dffff,#2f6fffff,#ebf5ffff,#2f6fffff
43,#cbcbcbff,#2f8fffff,#2f6fffff,#2f8fffff,#2b8bffff,#ffff50ff,#0b32cfff,#2b8bffff,#2585ffff,#2f6fffff,#2b8bffff,#2b8bffff,#2f6fffff,#ebf5ffff,#2f6fffff
44,#ccccccff,#2f8fffff,#2f6fffff,#2f8fffff,#2686ffff,#ffff50ff,#0b32cfff,#2686ffff,#2282ffff,#2f6fffff,#2686ffff,#2686ffff,#2f6fffff,#ebf5ffff,#2f6fffff
45,#cdcdcdff,#1f7fffff,#1f5fffff,#1f7fffff,#1f7fffff,#fdbb3cff,#0b32cfff,#1f7fffff,#1f7fffff,#1f5fffff,#1f7fffff,#1f7fffff,#1f5fffff,#ebf5ffff,#1f5fffff
46,#cececeff,#1f7fffff,#1f5fffff,#1f7fffff,#1e7effff,#fdbb3cff,#0b32cfff,#1e7effff,#1b7bffff,#1f5fffff,#1e7effff,#1e7effff,#1f5fffff,#ebf5ffff,#1f5fffff
47,#cfcfcfff,#1f7fffff,#1f5fffff,#1f7fffff,#1d7dffff,#fdbb3cff,#0b32cfff,#1d7dffff,#1878ffff,#1f5fffff,#1d7dffff,#1d7dffff,#1f5fffff,#ebf5ffff,#1f5fffff
48,#d0d0d0ff,#1f7fffff,#1f5fffff,#1f7fffff,#1b7bffff,#fdbb3cff,#0b32cfff,#1b7bffff,#1575ffff,#1f5fffff,#1b7bffff,#1b7bffff,#1f5fffff,#ebf5ffff,#1f5fffff
49,#d1d1d1ff,#1f7fffff,#1f5fffff,#1f7fffff,#1676ffff,#fdbb3cff,#0b32cfff,#1676ffff,#1272ffff,#1f5fffff,#1676ffff,#1676ffff,#1f5fffff,#ebf5ffff,#1f5fffff
50,#d2d2d2ff,#0f6fffff,#0f4fffff,#0f6fffff,#0f6fffff,#df5e0bff,#0726a4ff,#0f6fffff,#0f6fffff,#0f4fffff,#0f6fffff,#0f6fffff,#0f4fffff,#ffffffff,#0f4fffff
51,#d3d3d3ff,#0f6fffff,#0f4fffff,#0f6fffff,#0e6effff,#df5e0bff,#0726a4ff,#0e6effff,#0c6bffff,#0f4fffff,#0e6effff,#0e6effff,#0f4fffff,#ffffffff,#0f4fffff
52,#d4d4d4ff,#0f6fffff,#0f4fffff,#0f6fffff,#0e6dffff,#df5e0bff,#0726a4ff,#0e6dffff,#0968ffff,#0f4fffff,#0e6dffff,#0e6dffff,#0f4fffff,#ffffffff,#0f4fffff
53,#d5d5d5ff,#0f6fffff,#0f4fffff,#0f6fffff,#0b6bffff,#df5e0bff,#0726a4ff,#0b6bffff,#0565ffff,#0f4fffff,#0b6bffff,#0b6bffff,#0f4fffff,#ffffffff,#0f4fffff
54,#d6d6d6ff,#0f6fffff,#0f4fffff,#0f6fffff,#0766ffff,#df5e0bff,#0726a4ff,#0766ffff,#0262ffff,#0f4fffff,#0766ffff,#0766ffff,#0f4fffff,#ffffffff,#0f4fffff
55,#d7d7d7ff,#005fffff,#003fffff,#005fffff,#005fffff,#fd8788ff,#0726a4ff,#005fffff,#005fffff,#003fffff,#005fffff,#005fffff,#003fffff,#ffffffff,#003fffff
56,#d8d8d8ff,#005fffff,#003fffff,#005fffff,#005effff,#fd8788ff,#0726a4ff,#005effff,#005bffff,#003fffff,#005effff,#005effff,#003fffff,#ffffffff,#003fffff
57,#d9d9d9ff,#005fffff,#003fffff,#005fffff,#005dffff,#fd8788ff,#0726a4ff,#005dffff,#0058ffff,#003fffff,#005dffff,#005dffff,#003fffff,#ffffffff,#003fffff
58,#dadadaff,#005fffff,#003fffff,#005fffff,#005bffff,#fd8788ff,#0726a4ff,#005bffff,#0055ffff,#003fffff,#005bffff,#005bffff,#003fffff,#ffffffff,#003fffff
59,#dbdbdbff,#005fffff,#003fffff,#005fffff,#0056ffff,#fd8788ff,#0726a4ff,#0056ffff,#0052ffff,#003fffff,#0056ffff,#0056ffff,#003fffff,#ffffffff,#003fffff
60,#dcdcdcff,#004fffff,#002fffff,#004fffff,#004fffff,#e90000ff,#031875ff,#004fffff,#004fffff,#002fffff,#004fffff,#004fffff,#002fffff,#ffffffff,#002fffff
61,#ddddddff,#004fffff,#002fffff,#004fffff,#004effff,#e90000ff,#031875ff,#004effff,#004bffff,#002fffff,#004effff,#004effff,#002fffff,#ffffffff,#002fffff
62,#dededeff,#004fffff,#002fffff,#004fffff,#004dffff,#e90000ff,#031875ff,#004dffff,#0048ffff,#002fffff,#004dffff,#004dffff,#002fffff,#ffffffff,#002fffff
63,#dfdfdfff,#004fffff,#002fffff,#004fffff,#004bffff,#e90000ff,#031875ff,#004bffff,#0045ffff,#002fffff,#004bffff,#004bffff,#002fffff,#ffffffff,#002fffff
64,#e0e0e0ff,#004fffff,#002fffff,#004fffff,#0046ffff,#e90000ff,#031875ff,#0046ffff,#0042ffff,#002fffff,#0046ffff,#0046ffff,#002fffff,#ffffffff,#002fffff
65,#e1e1e1ff,#003fffff,#001fffff,#003fffff,#003fffff,#a80000ff,#031875ff,#003fffff,#003fffff,#001fffff,#003fffff,#003fffff,#001fffff,#ffffffff,#001fffff
66,#e2e2e2ff,#003fffff,#001fffff,#003fffff,#003effff,#a80000ff,#031875ff,#003effff,#003bffff,#001fffff,#003effff,#003effff,#001fffff,#ffffffff,#001fffff
67,#e3e3e3ff,#003fffff,#001fffff,#003fffff,#003dffff,#a80000ff,#031875ff,#003dffff,#0038ffff,#001fffff,#003dffff,#003dffff,#001fffff,#ffffffff,#001fffff
68,#e4e4e4ff,#003fffff,#001fffff,#003fffff,#003bffff,#a80000ff,#031875ff,#003bffff,#0035ffff,#001fffff,#003bffff,#003bffff,#001fffff,#ffffffff,#001fffff
69,#e5e5e5ff,#003fffff,#001fffff,#003fffff,#0036ffff,#a80000ff,#031875ff,#0036ffff,#0032ffff,#001fffff,#0036ffff,#0036ffff,#001fffff,#ffffffff,#001fffff
70,#e6e6e6ff,#002fffff,#000fffff,#002fffff,#002fffff,#ef5beeff,#010940ff,#002fffff,#002fffff,#000fffff,#002fffff,#002fffff,#000fffff,#ffffffff,#000fffff
71,#e7e7e7ff,#002fffff,#000fffff,#002fffff,#002effff,#ef5beeff,#010940ff,#002effff,#002bffff,#000fffff,#002effff,#002effff,#000fffff,#ffffffff,#000fffff
72,#e8e8e8ff,#002fffff,#000fffff,#002fffff,#002dffff,#ef5beeff,#010940ff,#002dffff,#0028ffff,#000fffff,#002dffff,#002dffff,#000fffff,#ffffffff,#000fffff
73,#e9e9e9ff,#002fffff,#000fffff,#002fffff,#002bffff,#ef5beeff,#010940ff,#002bffff,#0025ffff,#000fffff,#002bffff,#002bffff,#000fffff,#ffffffff,#000fffff
74,#eaeaeaff,#002fffff,#000fffff,#002fffff,#0026ffff,#ef5beeff,#010940ff,#0026ffff,#0022ffff,#000fffff,#0026ffff,#0026ffff,#000fffff,#ffffffff,#000fffff
75,#ebebebff,#001fffff,#0000ffff,#001fffff,#001fffff,#924cbeff,#010940ff,#001fffff,#001fffff,#0000ffff,#001fffff,#001fffff,#0000ffff,#ffffffff,#0000ffff
76,#ecececff,#001fffff,#0000ffff,#001fffff,#001effff,#924cbeff,#010940ff,#001effff,#001bffff,#0000ffff,#001effff,#001effff,#0000ffff,#ffffffff,#0000ffff
77,#edededff,#001fffff,#0000ffff,#001fffff,#001dffff,#924cbeff,#010940ff,#001dffff,#0018ffff,#0000ffff,#001dffff,#001dffff,#0000ffff,#ffffffff,#0000ffff
78,#eeeeeeff,#001fffff,#0000ffff,#001fffff,#001bffff,#924cbeff,#010940ff,#001bffff,#0015ffff,#0000ffff,#001bffff,#001bffff,#0000ffff,#ffffffff,#0000ffff
79,#efefefff,#001fffff,#0000ffff,#001fffff,#0016ffff,#924cbeff,#010940ff,#0016ffff,#0012ffff,#0000ffff,#0016ffff,#0016ffff,#0000ffff,#ffffffff,#0000ffff
80,#f0f0f0ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
81,#f1f1f1ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
82,#f2f2f2ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
83,#f3f3f3ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
84,#f4f4f4ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
85,#f5f5f5ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
86,#f6f6f6ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
87,#f7f7f7ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
88,#f8f8f8ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
89,#f9f9f9ff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
90,#fafafaff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
91,#fbfbfbff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
92,#fcfcfcff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
93,#fdfdfdff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
94,#fefefeff,#000fffff,#0000ffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#0000ffff,#000fffff,#000fffff,#0000ffff,#ffffffff,#0000ffff
95,#ffffffff,#000fffff,#000fffff,#000fffff,#000fffff,#502a68ff,#010940ff,#000fffff,#000fffff,#000fffff,#000fffff,#000fffff,#000fffff,#ffffffff,#000fffff
